"ref_area_label","cost_of_a_healthy_diet_ppp_dollar_per_person_per_day_ppp_ps_d","cost_of_animal_source_foods_ppp_ps_d","cost_of_fruits_ppp_ps_d","cost_of_legumes_nuts_and_seeds_ppp_ps_d","cost_of_oils_and_fats_ppp_ps_d","cost_of_starchy_staples_ppp_ps_d","cost_of_vegetables_ppp_ps_d","number_of_people_unable_to_afford_a_healthy_diet_million_ps","percentage_of_the_population_unable_to_afford_a_healthy_diet_percent_pt"
"Thailand","4.75","0.93","0.83","1.03","0.15","0.86","0.94","14.3","19.9"
"Togo","3.12","1.31","0.3","0.25","0.21","0.66","0.38","4.9","55.1"
"Trinidad and Tobago","4.43","0.91","1.19","0.39","0.18","0.68","1.08","0.6","38.6"
"Tunisia","3.97","1.15","1.17","0.58","0.18","0.29","0.6","0.9","7.3"
"Turkiye","3.8","1.13","0.96","0.42","0.19","0.51","0.6","8.3","9.6"
"Uganda","2.95","1.13","0.28","0.28","0.26","0.6","0.4","32.8","71.5"
"United Arab Emirates","2.66","0.92","0.45","0.32","0.24","0.42","0.3","0.3","2.6"
"United Kingdom","1.9","0.46","0.57","0.23","0.05","0.15","0.43","2.0","3.0"
"United States","2.36","0.56","0.53","0.17","0.06","0.29","0.74","8.5","2.5"
"Uruguay","3.65","0.87","0.9","0.53","0.12","0.49","0.74","1.3","37.6"
"Uzbekistan","4.06","1.11","1.03","0.38","0.23","0.84","0.47","5.5","16.1"
"Viet Nam","3.88","1.3","0.63","0.39","0.19","0.72","0.65","10.4","10.5"
"West Bank and Gaza","2.72","0.77","0.48","0.27","0.16","0.59","0.45","0.3","6.2"
"Zambia","3.28","1.06","0.36","0.39","0.22","0.94","0.31","15.9","81.3"
