FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.77,4.24,4.38,4.67,4.92,5.46,5.8,5.9
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,9.73,10.05,10.2,10.42,10.54,11.65,12.48,13.12
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7007,Cost of starchy staples,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.67,,,
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7007,Cost of starchy staples,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.43,,,
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7008,Cost of animal source foods,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.8,,,
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7008,Cost of animal source foods,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.71,,,
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7009,"Cost of legumes, nuts and seeds",PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.48,,,
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7009,"Cost of legumes, nuts and seeds",XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.03,,,
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7010,Cost of vegetables,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.26,,,
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7010,Cost of vegetables,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,2.69,,,
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7011,Cost of fruits,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.59,,,
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7011,Cost of fruits,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,3.4,,,
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7012,Cost of oils and fats,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.13,,,
A,Annual,ATG,Antigua and Barbuda,FAO_CAHD_7012,Cost of oils and fats,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.27,,,
A,Annual,AUS,Australia,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,2.33,2.36,2.4,2.51,2.61,2.88,3.1,3.2
A,Annual,AUS,Australia,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.64,3.67,3.76,3.88,3.93,4.18,4.46,4.61
A,Annual,AUS,Australia,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),PT,Percentage,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,2.9,3.2,3.2,3.5,3.2,3.2,3.2,3.2
A,Annual,AUS,Australia,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),PS,Persons,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,A,Normal value,PU,Public,0.7,0.8,0.8,0.9,0.8,0.8,0.9,0.9
A,Annual,AUS,Australia,FAO_CAHD_7007,Cost of starchy staples,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.25,,,
A,Annual,AUS,Australia,FAO_CAHD_7007,Cost of starchy staples,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.38,,,
A,Annual,AUS,Australia,FAO_CAHD_7008,Cost of animal source foods,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.5,,,
A,Annual,AUS,Australia,FAO_CAHD_7008,Cost of animal source foods,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.75,,,
A,Annual,AUS,Australia,FAO_CAHD_7009,"Cost of legumes, nuts and seeds",PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.27,,,
